model name,query name,query index,result,time
BART-COL-060,ReachabilityCardinality.xml,9,error,0.35095739364624023
BART-COL-060,ReachabilityCardinality.xml,8,error,0.37154579162597656
BlocksWorld-COL-03,ReachabilityCardinality.xml,2,error,0.10116910934448242
BlocksWorld-COL-03,ReachabilityCardinality.xml,6,error,0.0853874683380127
BlocksWorld-COL-03,ReachabilityCardinality.xml,9,error,0.0846397876739502
BlocksWorld-COL-03,ReachabilityCardinality.xml,15,error,0.12544894218444824
BlocksWorld-COL-03,ReachabilityCardinality.xml,8,error,0.08534932136535645
BlocksWorld-COL-03,ReachabilityCardinality.xml,5,error,0.08727669715881348
BlocksWorld-COL-03,ReachabilityCardinality.xml,3,error,0.10173583030700684
BlocksWorld-COL-03,ReachabilityCardinality.xml,4,error,0.1001129150390625
BlocksWorld-COL-04,ReachabilityCardinality.xml,1,error,0.08533668518066406
BlocksWorld-COL-04,ReachabilityCardinality.xml,13,error,0.08423423767089844
BlocksWorld-COL-04,ReachabilityCardinality.xml,3,error,0.06383872032165527
BlocksWorld-COL-04,ReachabilityCardinality.xml,16,error,0.08415460586547852
BlocksWorld-COL-04,ReachabilityCardinality.xml,14,error,0.08539724349975586
BlocksWorld-COL-04,ReachabilityCardinality.xml,10,error,0.08719182014465332
BlocksWorld-COL-04,ReachabilityCardinality.xml,15,error,0.08586931228637695
BlocksWorld-COL-04,ReachabilityCardinality.xml,11,error,0.08757662773132324
BlocksWorld-COL-03,ReachabilityCardinality.xml,7,error,0.08985447883605957
BlocksWorld-COL-03,ReachabilityCardinality.xml,16,error,0.11574101448059082
BlocksWorld-COL-04,ReachabilityCardinality.xml,12,error,0.08867979049682617
BlocksWorld-COL-04,ReachabilityCardinality.xml,2,error,0.07859635353088379
BlocksWorld-COL-04,ReachabilityCardinality.xml,9,error,0.09904098510742188
BlocksWorld-COL-04,ReachabilityCardinality.xml,4,error,0.10087347030639648
BlocksWorld-COL-04,ReachabilityCardinality.xml,7,error,0.10059285163879395
BlocksWorld-COL-04,ReachabilityCardinality.xml,6,error,0.10116887092590332
BlocksWorld-COL-04,ReachabilityCardinality.xml,8,error,0.10243606567382812
BlocksWorld-COL-04,ReachabilityCardinality.xml,5,error,0.1038675308227539
BlocksWorld-COL-05,ReachabilityCardinality.xml,14,error,0.10266876220703125
BlocksWorld-COL-05,ReachabilityCardinality.xml,1,error,0.10450887680053711
BlocksWorld-COL-05,ReachabilityCardinality.xml,4,error,0.10103297233581543
BlocksWorld-COL-05,ReachabilityCardinality.xml,13,error,0.10412740707397461
BlocksWorld-COL-05,ReachabilityCardinality.xml,3,error,0.1020822525024414
BlocksWorld-COL-05,ReachabilityCardinality.xml,5,error,0.10129570960998535
BlocksWorld-COL-05,ReachabilityCardinality.xml,15,error,0.10357117652893066
BlocksWorld-COL-05,ReachabilityCardinality.xml,11,error,0.10552048683166504
BlocksWorld-COL-05,ReachabilityCardinality.xml,2,error,0.10317063331604004
BlocksWorld-COL-05,ReachabilityCardinality.xml,6,error,0.1017160415649414
BlocksWorld-COL-05,ReachabilityCardinality.xml,16,error,0.10417389869689941
BlocksWorld-COL-05,ReachabilityCardinality.xml,10,error,0.10698199272155762
BlocksWorld-COL-05,ReachabilityCardinality.xml,7,error,0.10097742080688477
BlocksWorld-COL-05,ReachabilityCardinality.xml,12,error,0.10731816291809082
BlocksWorld-COL-06,ReachabilityCardinality.xml,1,error,0.09296393394470215
BlocksWorld-COL-06,ReachabilityCardinality.xml,7,error,0.08697319030761719
BlocksWorld-COL-06,ReachabilityCardinality.xml,3,error,0.0881350040435791
BlocksWorld-COL-06,ReachabilityCardinality.xml,8,error,0.08712458610534668
BlocksWorld-COL-06,ReachabilityCardinality.xml,16,error,0.08889460563659668
BlocksWorld-COL-06,ReachabilityCardinality.xml,5,error,0.08843064308166504
BlocksWorld-COL-06,ReachabilityCardinality.xml,11,error,0.09237909317016602
BlocksWorld-COL-06,ReachabilityCardinality.xml,4,error,0.0891563892364502
BlocksWorld-COL-06,ReachabilityCardinality.xml,14,error,0.0906076431274414
BlocksWorld-COL-06,ReachabilityCardinality.xml,15,error,0.09050178527832031
BlocksWorld-COL-06,ReachabilityCardinality.xml,13,error,0.09162759780883789
BlocksWorld-COL-06,ReachabilityCardinality.xml,2,error,0.09078407287597656
BlocksWorld-COL-06,ReachabilityCardinality.xml,10,error,0.09596109390258789
BlocksWorld-COL-06,ReachabilityCardinality.xml,9,error,0.0897359848022461
BlocksWorld-COL-06,ReachabilityCardinality.xml,6,error,0.09091758728027344
BlocksWorld-COL-05,ReachabilityCardinality.xml,8,error,0.09860873222351074
BlocksWorld-COL-06,ReachabilityCardinality.xml,12,error,0.09494757652282715
